City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Albany,US,68.0,light rain,42.6,-73.97,
2,Mataura,NZ,60.01,light rain,-46.19,168.86,Ellie's Villa
6,Thompson,CA,53.6,light rain,55.74,-97.86,Burntwood Hotel
7,Fortuna,US,57.99,overcast clouds,40.6,-124.16,Super 8 by Wyndham Fortuna
8,Cape Town,ZA,57.99,few clouds,-33.93,18.42,Southern Sun Waterfront Cape Town
11,Bluff,NZ,60.01,broken clouds,-46.6,168.33,Bluff Homestead - Guesthouse & Campervan Park
13,Dikson,RU,46.13,clear sky,73.51,80.55,
14,Ovalle,CL,50.88,overcast clouds,-30.6,-71.2,Hotel Altos de Tuqui
16,Khatanga,RU,66.34,overcast clouds,71.97,102.5,"Gostinitsa ""Zapolyar'ye"""
17,Margate,GB,60.01,overcast clouds,51.38,1.39,Premier Inn Margate hotel
19,Ketchikan,US,57.2,light rain,55.34,-131.65,Snows Cove Lodge
24,Torbay,CA,60.01,clear sky,47.67,-52.73,Gallows Cove
27,Grindavik,IS,46.4,clear sky,63.84,-22.43,Northern Light Inn & Max's Restaurant
33,Kaitangata,NZ,53.01,broken clouds,-46.28,169.85,Kaitangata Motor Camp
38,Bredasdorp,ZA,55.4,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
39,Jamestown,US,69.01,clear sky,42.1,-79.24,Hampton Inn & Suites Jamestown
44,Nikolskoye,RU,59.0,broken clouds,59.7,30.79,Tourist House - Sablino
48,Kodiak,US,57.2,overcast clouds,57.79,-152.41,Best Western Kodiak Inn and Convention Center
51,Busselton,AU,60.01,clear sky,-33.65,115.33,Observatory Guest House
54,Arraial Do Cabo,BR,67.01,clear sky,-22.97,-42.03,Pousada Porto Praia
56,Pudozh,RU,58.48,overcast clouds,61.81,36.53,Guest-House na Transportnoy
59,Saskylakh,RU,54.61,clear sky,71.92,114.08,
60,Saint-Joseph,RE,66.2,scattered clouds,-21.37,55.62,"""Plantation Bed and Breakfast"
62,Nosy Varika,MG,62.87,clear sky,-20.58,48.53,Hotel Volazara
63,Mezhdurechensk,RU,60.62,light rain,53.69,88.06,Apartments Mezhdurechensk
65,Port Elizabeth,ZA,57.2,broken clouds,-33.92,25.57,39 On Nile Guest House
66,Hobart,AU,48.99,light intensity shower rain,-42.88,147.33,St Ives Apartments
67,East London,ZA,58.62,overcast clouds,-33.02,27.91,Tu Casa
69,Swinoujscie,PL,60.01,scattered clouds,53.91,14.25,Hotel Interferie Medical SPA
70,Bay Roberts,CA,59.0,clear sky,47.6,-53.26,Stonewall Inn
71,Provideniya,RU,53.6,broken clouds,64.38,-173.3,
76,Ostrovnoy,RU,55.81,clear sky,68.05,39.51,
78,Hermanus,ZA,55.0,overcast clouds,-34.42,19.23,Misty Waves Boutique Hotel
79,Barrow,US,46.4,clear sky,71.29,-156.79,King Eider Inn
81,Culleredo,ES,59.0,clear sky,43.29,-8.39,Hotel Crunia I A Coruña
83,Mut,TR,68.68,clear sky,36.64,33.44,Konak Otel
85,Grafton,US,68.0,light rain,42.21,-71.69,The Grafton Inn
86,Tuktoyaktuk,CA,68.0,broken clouds,69.45,-133.04,End of The Road Ltd.
88,Whitehorse,CA,60.8,shower rain,60.72,-135.05,Westmark Hotel
91,Kurilsk,RU,65.68,overcast clouds,45.23,147.88,Guest House on Kooperativnaya
93,Mar Del Plata,AR,51.01,scattered clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
94,Novokizhinginsk,RU,56.88,light rain,51.61,109.59,
95,Lebu,CL,50.5,light rain,-37.62,-73.65,Hostal Las Lilas
99,Ust-Ishim,RU,53.13,overcast clouds,57.69,71.17,"Velichko T.p., Gostinitsa"
100,Namibe,AO,63.73,overcast clouds,-15.2,12.15,Hotel Chik Chik Namibe
101,Lakhdenpokhya,RU,59.0,broken clouds,61.52,30.2,Rauhala Place
102,Frederico Westphalen,BR,55.99,clear sky,-27.36,-53.39,Hotel Palace Frederico
104,Puerto Ayora,EC,66.0,scattered clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
106,Sorland,NO,52.92,light rain,67.67,12.69,Sjybrygga fiskecamp
107,Pishva,IR,66.2,clear sky,35.31,51.73,شهرک خورشید هشتم
111,Castro,BR,48.2,broken clouds,-24.79,-50.01,CHACARA BAILLY
112,Vila Velha,BR,66.2,clear sky,-20.33,-40.29,Hotel Vitória Palace
114,Presidencia Roque Saenz Pena,AR,66.51,overcast clouds,-26.79,-60.44,Hotel Aconcagua
115,Belmonte,BR,66.2,broken clouds,-15.86,-38.88,Pousada Monte Carmelo O Pão
119,Gagarin,RU,60.19,broken clouds,55.55,35.0,Otel' Gzhatsk
121,Talnakh,RU,60.8,scattered clouds,69.49,88.4,Talnakh Hotel
123,Rocha,UY,50.92,clear sky,-34.48,-54.33,Beleza Pura B&B
126,Aktanysh,RU,57.79,broken clouds,55.72,54.08,"Gostinitsa ""Aktanysh"""
128,Hovd,MN,65.14,overcast clouds,48.01,91.64,Hotel Khovd
129,Plettenberg Bay,ZA,57.9,light rain,-34.05,23.37,Thanda Vista B&B
132,Upernavik,GL,43.97,overcast clouds,72.79,-56.15,Gina's Guesthouse - Upernavik
134,Port Alfred,ZA,57.47,overcast clouds,-33.59,26.89,The Halyards Hotel
135,Campo Verde,BR,68.0,clear sky,-20.42,-54.07,
136,Kaeo,NZ,57.99,light rain,-35.1,173.78,Bushido Lodge
138,Olafsvik,IS,49.41,clear sky,64.89,-23.71,Hotel Olafsvik
145,Kangaatsiaq,GL,43.5,clear sky,68.31,-53.46,
146,Nacala,MZ,66.09,overcast clouds,-14.54,40.67,Nacala Plaza Business Design Hotel
148,Yar-Sale,RU,53.87,overcast clouds,66.83,70.83,Yalemd
149,Port Lincoln,AU,54.01,overcast clouds,-34.73,135.87,Port Lincoln Hotel
152,Okhotsk,RU,55.42,overcast clouds,59.38,143.3,
153,Marienburg,PL,55.0,clear sky,54.04,19.03,Hotel Centrum Malbork
154,Lasa,IT,53.6,clear sky,46.62,10.7,Pension Feldgärtenhof
156,Aykhal,RU,55.4,clear sky,66.0,111.5,
158,Kruisfontein,ZA,55.0,light rain,-34.0,24.73,Oyster Bay House Rental
161,Antofagasta,CL,57.2,overcast clouds,-23.65,-70.4,Hotel Terrado Suites Antofagasta
162,Lavrentiya,RU,48.88,overcast clouds,65.58,-171.0,
166,Turmalina,BR,53.51,scattered clouds,-17.29,-42.73,Hotel Cristal
168,Kurmanayevka,RU,57.54,clear sky,52.51,52.07,
169,Porto Murtinho,BR,64.94,clear sky,-21.7,-57.88,Hotel Pantanal
174,Bodo,NO,50.0,shower rain,67.28,14.4,Clarion Collection Hotel Grand Bod
175,Chuy,UY,53.69,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
176,Sokur,RU,59.0,clear sky,55.21,83.32,Gostinitsa Svetlana
177,Quesnel,CA,60.8,clear sky,53.0,-122.5,Ramada Limited Quesnel
179,Outlook,CA,68.09,scattered clouds,51.5,-107.05,Red Wheel Motel
181,Juneau,US,57.0,light rain,58.3,-134.42,"Baranof Downtown, BW Signature Collection"
186,Puerto Baquerizo Moreno,EC,64.87,broken clouds,-0.9,-89.6,Hotel los Algarrobos
191,Santa Maria Do Suacui,BR,56.37,broken clouds,-18.19,-42.41,Hotel do Vavá
192,Borskoye,RU,57.9,clear sky,53.03,51.72,Sosnovyy Bor
194,Port Macquarie,AU,66.0,clear sky,-31.43,152.92,Rydges Port Macquarie
208,Alekseyevka,RU,58.05,clear sky,50.63,38.69,Apartment on Ploshchad Pobedy
215,San Miguel El Alto,MX,60.46,light rain,21.02,-102.35,El Campito de los Moreno
216,Sao Joao Da Barra,BR,63.55,clear sky,-21.64,-41.05,Pousada Porto De Canoas
217,Veshenskaya,RU,58.41,clear sky,49.63,41.73,Kazachiy Kuren Inn
218,Campos Novos,BR,46.13,clear sky,-27.4,-51.23,Hotel Corujão
222,Sitka,US,57.2,mist,57.05,-135.33,Westmark Sitka
223,Cidreira,BR,60.48,clear sky,-30.18,-50.21,Hotel Castelo
224,Yellowknife,CA,59.0,few clouds,62.46,-114.35,The Explorer Hotel
225,Kasempa,ZM,53.4,scattered clouds,-13.46,25.83,Miracle Guest House
226,Bonavista,CA,60.01,broken clouds,48.65,-53.11,Abbott's Bed & Breakfast
229,Tuatapere,NZ,60.01,clear sky,-46.13,167.68,Tom Cruse Refreshment Company
232,Csaszartoltes,HU,66.0,overcast clouds,46.42,19.18,Pincelakat Borház és Szálloda
234,Suzun,RU,62.98,scattered clouds,53.78,82.31,Elegant Lyuks
235,Klaksvik,FO,44.6,overcast clouds,62.23,-6.59,Geilin Bed & Breakfast
236,Svetlogorsk,BY,62.83,overcast clouds,52.63,29.73,Hotel Svetlogorsk JBIK
237,Northam,GB,60.01,moderate rain,51.03,-4.22,Durrant House Hotel
