City_ID,City,Country,Lat,Lng,Max Temp,Min Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Albany,US,42.6,-73.97,68.0,66.0,91,41,1.97,light rain
1,Atuona,PF,-9.8,-139.03,78.13,78.13,78,5,17.05,clear sky
2,Mataura,NZ,-46.19,168.86,60.01,60.01,72,50,0.74,light rain
3,Senador Pompeu,BR,-5.59,-39.37,71.91,71.91,82,14,3.4,few clouds
4,Cherskiy,RU,68.75,161.3,39.36,39.36,93,100,8.81,light rain
5,Pevek,RU,69.7,170.31,37.94,37.94,96,100,2.89,light rain
6,Thompson,CA,55.74,-97.86,53.6,53.6,100,90,6.93,light rain
7,Fortuna,US,40.6,-124.16,57.99,55.4,93,90,6.93,overcast clouds
8,Cape Town,ZA,-33.93,18.42,57.99,55.0,93,20,11.41,few clouds
9,Guasdualito,VE,7.24,-70.73,72.84,72.84,97,82,3.09,moderate rain
10,Tasiilaq,GL,65.61,-37.64,37.4,37.4,93,4,1.12,fog
11,Bluff,NZ,-46.6,168.33,60.01,60.01,72,54,1.81,broken clouds
12,Husavik,IS,66.04,-17.34,35.6,35.6,93,100,3.36,fog
13,Dikson,RU,73.51,80.55,46.13,46.13,81,0,12.55,clear sky
14,Ovalle,CL,-30.6,-71.2,50.88,50.88,74,97,3.29,overcast clouds
15,Qaanaaq,GL,77.48,-69.36,36.41,36.41,89,100,0.81,light rain
16,Khatanga,RU,71.97,102.5,66.34,66.34,49,98,12.82,overcast clouds
17,Margate,GB,51.38,1.39,60.01,55.0,80,89,1.01,overcast clouds
18,Saint-Philippe,RE,-21.36,55.77,69.8,55.0,59,40,8.05,scattered clouds
19,Ketchikan,US,55.34,-131.65,57.2,57.2,100,90,4.7,light rain
20,Santo Domingo Suchitepequez,GT,14.47,-91.48,73.67,73.67,91,100,1.79,light rain
21,Belaya Gora,RU,68.53,146.42,41.27,41.27,65,100,7.49,overcast clouds
22,Azangaro,PE,-14.92,-70.22,40.15,40.15,70,4,2.46,clear sky
23,Rikitea,PF,-23.12,-134.97,71.26,71.26,83,12,18.32,light rain
24,Torbay,CA,47.67,-52.73,60.01,57.99,82,5,16.11,clear sky
25,Punta Arenas,CL,-53.15,-70.92,33.8,33.01,86,13,18.34,light rain
26,Tyrma,RU,50.08,132.17,74.23,74.23,56,100,10.74,overcast clouds
27,Grindavik,IS,63.84,-22.43,46.4,46.4,93,3,4.7,clear sky
28,San Pedro,PH,14.35,121.02,90.0,89.01,75,100,10.0,overcast clouds
29,Norman Wells,CA,65.28,-126.83,69.8,69.8,43,40,16.11,scattered clouds
30,Asfi,MA,32.3,-9.24,70.45,70.45,77,39,15.79,scattered clouds
31,Labuhan,ID,-6.88,112.21,86.61,86.61,52,17,12.82,few clouds
32,Srednekolymsk,RU,67.45,153.68,40.53,40.53,70,100,10.47,overcast clouds
33,Kaitangata,NZ,-46.28,169.85,53.01,53.01,85,54,10.0,broken clouds
34,Kasongo,CD,-4.45,26.67,69.71,69.71,90,86,4.12,light rain
35,Ushuaia,AR,-54.8,-68.3,32.0,32.0,91,40,6.93,scattered clouds
36,Lagoa,PT,39.05,-27.98,72.9,72.9,88,0,16.87,clear sky
37,Lazaro Cardenas,MX,17.96,-102.2,79.95,79.95,85,40,1.77,light rain
38,Bredasdorp,ZA,-34.53,20.04,55.4,55.4,93,100,2.24,overcast clouds
39,Jamestown,US,42.1,-79.24,69.01,66.2,93,1,4.7,clear sky
40,Ribeira Grande,PT,38.52,-28.7,73.08,73.08,89,1,13.42,clear sky
41,Ajdabiya,LY,30.76,20.23,70.9,70.9,90,0,6.15,clear sky
42,Carnarvon,AU,-24.87,113.63,69.8,69.8,52,0,17.22,clear sky
43,Cayenne,GF,4.93,-52.33,73.4,73.4,100,12,11.65,few clouds
44,Nikolskoye,RU,59.7,30.79,59.0,57.0,87,84,4.47,broken clouds
45,Bandarbeyla,SO,9.49,50.81,75.85,75.85,70,60,28.45,broken clouds
